skill	Id	charclass	skilldesc	* filter	srvstfunc	srvdofunc	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	cltstfunc	cltdofunc	cltprgfunc1	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	aura	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	perdelay	aurastat1	AuraStatParam1	aurastatcalc1	aurastat2	AuraStatParam2	aurastatcalc2	aurastat3	AuraStatParam3	aurastatcalc3	aurastat4	AuraStatParam4	aurastatcalc4	aurastat5	AuraStatParam5	aurastatcalc5	aurastat6	AuraStatParam6	aurastatcalc6	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	HitShift	SrcDam	StaticDamage	BaseSynergy	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	delay	DelayGroup	stsuccessonly	stsound	ItemCastSound	stsoundclass	castoverlay	ItemCastOverlay	passive	passivestate	passivestat1	PassiveStatParam1	passivecalc1	passivestat2	PassiveStatParam2	passivecalc2	passivestat3	PassiveStatParam3	passivecalc3	passivestat4	PassiveStatParam4	passivecalc4	passivestat5	PassiveStatParam5	passivecalc5	passiveitype	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	anim	seqtrans	monanim	seqnum	seqinput	minmana	manashift	mana	lvlmana	skpoints	reqlevel	maxlvl	reqskill1	leftskill	interrupt	immediate	attackrank	InTown	AttackNoMana	finishing	progressive	restrict	State1	State2	State3	ItemEffect	ItemCltEffect	ItemTgtDo	ToHit	LevToHit	ToHitCalc	LineOfSight	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	TgtPlaceCheck	InGame	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	srvoverlay	cltoverlaya	cltoverlayb	nocostinstate	usemanaondo	startmana	reqstr	reqdex	reqint	reqvit	reqskill2	reqskill3	periodic	ResultFlags	HitFlags	HitClass	Kick	itypeb2	itypeb3	etypeb1	etypeb2	noammo	cltprgfunc2	cltprgfunc3	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	aitype	aibonus	durability	repeat	checkfunc	stsounddelay	ItemTarget	ItemCheckStart	ItemCltCheckStart	general	scroll	warp	enhanceable	TargetableOnly	SearchEnemyXY	UseAttackRate	cost mult	cost add
Mana Tide Totem	57		manatidetotem	oSkill		153							20	31			corpseexplosion						devilish					passive_dodge		skill('Totemic Mastery'.clc1)	passive_avoid		skill('Totemic Mastery'.clc1)													skill('Totemic Mastery'.clc2)	hp%	1	sum per cast				0	res1	0	res2	60	life bonus	0	life bonus per level	0	attack rating	100	mana recovery bonus	10	mana recovery bonus per level			8																																					0	1	druid_firecast_b	druid_firecast_b						passive1		lvl																totem8	totemic	(stat('passivelockout'.accr)>12)?(0):(4)	NU	Totemic Aura Mana Tide	lvl											none								SC	SC	xx			0	8	100	12		1	99			1		0					1											1		2	1					1																																																								1											1					0
Elemental Totem	58		elementaltotem	oSkill		153							20	31			corpseexplosion						devilish					passive_dodge		skill('Totemic Mastery'.clc1)	passive_avoid		skill('Totemic Mastery'.clc1)													skill('Totemic Mastery'.clc2)	hp%	1	sum per cast				0	res1	0	res2	60	life bonus	0	life bonus per level	0	attack rating	10	dmg % elem	2	dmg % elem per level			8																																					0	1	druid_firecast_b	druid_firecast_b						passive1		lvl																totem4	totemic	(stat('passivelockout'.accr)>12)?(0):(4)	NU	Totemic Aura Elemental	lvl											none								SC	SC	xx			0	7	288	36		1	99			1		0					1											1		2	1					1																																																								1											1					0
Item Proc Stampede	59		stampede	oSkill		8				stamboltitem				17			stamboltitem	stamboltitem																												ln56	number of missiles	0	activation frame				25	stun duration	0	stun duration per level	10	timer per level			2	missiles	1	missiles per level					8	96																																				0																																											none								SC	SC	xx			0	7	80	0		1	99		1	1		1									1															1																																																																			1					0
Chober Chaber Spiral Dance	60		skillspiraldance	oSkill	6	11				skillnousinitial	skillnousinitial	skillnousinitial		19			skillnousinitial	skillnousinitial	skillnousinitial																											1	spawn?																						8	32	1															mag	3	3	3	3	3	3	3	3	3	3	3	3	(5*ulvl)/4							0																																											h2h		pham	pmac	pclb				A2	A2	A1			0	7	200	0		1	99		1	1		5		1			1				1															1																																																																			1	1	1	1		0
Even More Amazing Grace	61			Monster		25																	amazinggrace		75			passive_dodge		150	passive_avoid		150	passive_evade		150	fade		3																														8																																					0																																											none								SC	SC	xx				0	0	0		-10	99			1		4					1				1											1	1			1																																																													1						1					0
Hades Gate	62	ass	hadesgate	ASN - Ninja	17	27	transspawner						21			transspawner										25																																											8	140																																			"(stat('ffront_proj'.accr)+stat('si_1'.accr) == 2)?(max((600/(blvl+2)+10)-98,0)):(600/(blvl+2)+10)"	7	1	amazon_fistofares	amazon_fistofares		handofathena	handofathena																																					none		nagi						A1	A1	xx			0	7	250	18	((ulvl-24)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1	24	99	Laserblade		1		0					1				1							1		1	1					1																																																													3		1			1	1					0
PHailstorm	63		hailstorm	oSkill		80				freezestormcenterP				36			freezestormcenterP					42375				20																				1	fire?												1	synergy									3			1														cold	72	12	6	6	6	6	120	20	10	10	10	10		25				stat('profession_duration_mod'.accr)		0		siegebeast_stomp_1	siegebeast_stomp_1		arctic_blast_cast	arctic_blast_cast																																					none								SC	SC	xx			0	7	100	12		24	99		1	1		6									1						4	1								1																							icyhealing																																						4						1	1				0
Frozen Orb	64		frozen orb	oSkill			frozenorb							29			frozenorb																																																				3			1														cold	80	20	20	20	20	20	90	24	24	24	24	24		250				stat('profession_duration_mod'.accr)		0		sorceress_cast_cold	sorceress_cast_cold		ice_cast_3	ice_cast_3																																					none								SC	SC	xx				8	100	50		1	99		1	1		8									1															1																																																								30											1					0
Innate Bloodbath	65		innatebloodbath	ASN - Special	39	2																	careforabloodbath		(syn1==0)?(par7+(skill('Shadow Dancer'.blvl)*5)):(1)			item_healafterkill		((stat('maxhp'.accr))/33)/256	normal_damage_reduction		(3*skill('Obliteration'.lvl)*(100+(8*skill('Obliteration'.blvl))))/200	magic_damage_reduction		(3*skill('Obliteration'.lvl)*(100+(8*skill('Obliteration'.blvl))))/200	si_1		1							1	dmg %	(syn2==0)?(par7+(skill('Shadow Dancer'.blvl)*5)):(1)																	250	duration			8	128																mag																				0																																											h2h		h2h	nagi					A1	A1	xx				0	0	0		-10	99		1			3		1			1				1															1															1																																																				1	1	1	1		0
Amplify Damage	66		amplify damage	Classic		30							18	30								3		amplifydamage	200	4		damageresist		-25																							3	radius	1	radius per level	200	duration	75	additional duration/level	100	% additional damage taken							8																																					0		necromancer_curse_cast																																									none								SC	SC	S2				0	0	0		1	99			1		10									1						4									1																																																								1											1					0
PGamma Field	67		gammafield	oSkill			gammafieldcenterP									gammafieldcenterP																																																			40	duration synergy	0			1														pois	20	4	4	4	4	4	60	12	8	8	8	8	syn1*6000	100	5	5	1	stat('skill_poison_dur'.accr)-(90 * syn1)-(stat('skill_poison_dur'.accr)*syn1)		0		druid_shockwave	druid_shockwave																																								none								SC	SC	xx			0	7	48	8		18	99		1	1		4									1															1																																																																			1					0
Unused68	68			Unused																																																																																																																																																																																																																																																																									0
Porkulator	69			Monster		30							18	30								3		porkulator	(200*(100+stat('profession_duration_mod'.accr)))/100	4		velocitypercent		-33	attackrate		-33	item_fastercastrate		-33																																	8																																					0		necromancer_curse_cast																																									none								SC	SC	S2				0	0	0		1	99			1		10									1						4									1																																																								1											1					0
Raise Skeleton	70		raise skeleton	Classic	15	31							20	31			corpseexplosion											damagepercent		((lvl < 4) ? 0 : ((lvl-3)*par3))	tohit		(lvl+skill('Skeleton Mastery'.lvl))*par4	armorclass		(lvl+skill('Skeleton Mastery'.lvl))*par5										(lvl < 4) ? 0 : (par2 * (lvl - 3))	hp % adjustment						5	% chance of shield	50	hp%/lvl	7	dmg%/lvl	15	to hit/lvl	15	ac/lvl							8																		0	0	3	3	3	3														0	1	necromancer_golem_cast	necromancer_golem_cast						maxhp		skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1) * 256	item_normaldamage		skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par2) + edmn													necroskeleton	skeleton	(lvl < 4) ?lvl:(2+lvl/3)	S1													none								SC	SC	xx			2	6	48	2		1	20			1		0									1							1		2	1					1																																																								1											1					0
Dim Vision	71		dim vision	Classic		30							18	30			cursedimvision		cursecast			2		dimvision	200	4																											4	radius	1	radius per level	175	duration	50	additional duration/level									8																																					0		necromancer_curse_cast	necromancer_curse_cast																																								none								SC	SC	xx			2	7	36	0		6	20			1		0									1						4									1																																																								6											1					0
Dazzle Curse	72			Monster		30							18	30								3		burnedbyburn	(200*(100+stat('profession_duration_mod'.accr)))/100	4		item_tohit_percent		-100																																							8																																					0		necromancer_curse_cast																																									none								SC	SC	S2				0	0	0		1	99			1		10									1						4									1																																																								1											1					0
Witch Deadly Pounce	73			Monster	22	27	witchpouncecenter						5			witchpouncecenter										25																																											8		1		50000						50000							mag	50000						50000													1	1			witch_awaken	flyingredparticles																																						none								A1	A1	xx			0	7	0	0		1	-10		1	1		0					1				1		1				4	1								1																																																								30					2					1	1	1		1		0
Corpse Explosion	74		corpse explosion	Classic	17	55							21	32			corpseexplosion	explodingarrowexp	redlightmissile							ln34																				par1	% target hp min damage	par2	% target hp max damage	par5	% damage to do as elemental		2	% of base monster HP min damage	4	% of base monster HP max damage	8	radius (half squares)	1	additional radius/level (half squares)	50	% damage to do as elemental							8																	fire																				0	1	necromancer_corpse_cast	necromancer_corpse_cast																																								none								SC	SC	xx			2	6	120	2		6	20	Teeth		1		0									1							1		1	1					1																				necromancer_corpseexp_1																																				6					3		1				1					0
PNova Bomb	75		novabomb	oSkill		28				lightningbombP	lightningbombP	lightningbombP		28			lightningbombP																																										1	synergy									3			1														ltng	16						112	28	14	14	14	14								0		sorceress_cast_lightning	sorceress_cast_lightning		light_cast_1																																						none								SC	SC	xx			0	7	48	10	((ulvl-12)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1	12	99			1		6									1						4		1							1																																																																			1					0
Wrath	76		wrath	oSkill		8				wrathcenter				17			wrathcenter	wrathcenter																												1	number of missiles	0	activation frame										1	synergy	6	bolts	5	levels per bolt					3			1	100	20	10	10	10	10	120	24	12	12	12	12		fire	100	20	10	10	10	10	120	24	12	12	12	12								0		sorceress_cast_fire	sorceress_cast_fire		fire_cast_2																																						none								SC	SC	xx			0	7	25	7		-10	99		1	1		1									1															1																																																																			1					0
Terror	77		terror	Classic		30							18	30								2		terror	(200*(100+stat('profession_duration_mod'.accr)))/100	5+lvl																																			24	Distance to run	2	Distance per level					8																																					0		necromancer_curse_cast																																									none								SC	SC	xx				0	0	0		1	99			1		0									1						4									1																																																								12											1					0
Mon Safe Javelin Nova	78		javelinnova	oSkill		22				safejavelin	safejavelin	safejavelin		25			safejavelin																																				12	number of missiles	4	additional missiles per level													8																																					0																																											none								SC	SC	xx				0	108	-4		1	99			1		2									1															1																																																																			1					0
PImmolation Bomb	79		immolationbomb	oSkill		28				immolationbombP	immolationbombP	immolationbombP		28			immolationbombP																																										1	synergy									3			1														fire	40	8	4	4	4	4	120	24	12	12	12	12								0		sorceress_cast_fire	sorceress_cast_fire		fire_cast_2																																						none								SC	SC	xx			0	7	64	10	((ulvl-18)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1	18	99			1		2									1						4		1							1																																																																			1					0
Raise Skeletal Mage	80		raise skeletal mage	Classic	15	31							20	31			corpseexplosion											armorclass		(lvl+skill('Skeleton Mastery'.lvl))*par5																(lvl < 4) ? 0 : (par2 * (lvl - 3))	hp % adjustment								7	hp%/lvl					10	ac/lvl							8																																					0	1	necromancer_golem_cast	necromancer_golem_cast						maxhp		skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1) * 256																necromage	skeletonmage	(lvl < 4) ?lvl:(2+lvl/3)	S1	NecromageMissile	skill('Skeleton Mastery'.lvl) + ((lvl < 4)?0:((lvl-2)/2))											none								SC	SC	xx			2	6	64	2		12	20	Raise Skeleton		1		0									1							1		2	1					1																																																								12											1					0
PPoison Flash Proc	81		poisonflash	oSkill		18	barflashpoisonP									barflashpoisonP							poisonflashblast		19			manarecovery		-20	item_howlthorns		skill('Plague Avatar'.blvl)*par1																				2						1	synergy							10	duration synergy	0			1														pois	8	4	2	2	2	2	36	18	9	9	9	9		75	5	5	5	(skill('Charm'.blvl)*par8)+stat('skill_poison_dur'.accr)		0		necromancer_poisonnova	necromancer_poisonnova																																								none								SC	SC	xx			0	7	12	8	((ulvl)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1	1	99		1	1		2					1				1															1																																																																			1					0
